# Canonical	Localized
# Source: Microsoft Excel (fr-FR) function name translations (Excel for Microsoft 365) via Range.Formula/FormulaLocal round-trip.
# Generated by scripts/generate-locale-function-tsv.js on 1970-01-01 (UTC). Do not edit by hand.
# See `src/locale/data/README.md` for format + generators.

DATEDIF	DATEDIF
DATEVALUE	DATEVAL
DAVERAGE	BDMOYENNE
DAY	JOUR
DAYS	JOURS
DAYS360	JOURS360
DB	DB
DBCS	DBCS
DCOUNT	BDNB
DCOUNTA	BDNBVAL
DDB	DDB
DEC2BIN	DECBIN
DEC2HEX	DECHEX
DEC2OCT	DECOCT
DECIMAL	DECIMAL
DEGREES	DEGRES
DELTA	DELTA
DEVSQ	SOMME.CARRES.ECARTS
DGET	BDLIRE
DISC	TAUX.ESCOMPTE
DMAX	BDMAX
DMIN	BDMIN
DOLLAR	FRANC
DOLLARDE	FRANC.DEC
DOLLARFR	FRANC.FRAC
DPRODUCT	BDPRODUIT
DROP	SUPPRIMER
DSTDEV	BDECARTYPE
DSTDEVP	BDECARTYPEP
DSUM	BDSOMME
DURATION	DUREE
DVAR	BDVAR
DVARP	BDVARP
EDATE	MOIS.DECALER
EFFECT	TAUX.EFFECTIF
EOMONTH	FIN.MOIS
ERF	ERF
ERFC	ERFC
ERROR.TYPE	TYPE.ERREUR
EVEN	PAIR
EXACT	EXACT
EXP	EXP
EXPAND	ETENDRE
EXPON.DIST	LOI.EXPONENTIELLE.N
EXPONDIST	LOI.EXPONENTIELLE
F.DIST	LOI.F.N
F.DIST.RT	LOI.F.DROITE.N
F.INV	LOI.F.INVERSE.N
F.INV.RT	LOI.F.INVERSE.DROITE.N
F.TEST	TEST.F.N
FACT	FACT
FACTDOUBLE	FACTDOUBLE
FALSE	FAUX
FDIST	LOI.F
FILTER	FILTRE
FIND	TROUVE
FINDB	TROUVEB
FINV	LOI.F.INVERSE
FISHER	FISHER
FISHERINV	FISHER.INVERSE
FLOOR	PLANCHER
FLOOR.MATH	PLANCHER.MATH
FLOOR.PRECISE	PLANCHER.PRECIS
FORECAST	PREVISION
FORECAST.ETS	PREVISION.ETS
FORECAST.ETS.CONFINT	PREVISION.ETS.INTERVALLE.CONFIANCE
FORECAST.ETS.SEASONALITY	PREVISION.ETS.SAISONNALITE
FORECAST.ETS.STAT	PREVISION.ETS.STAT
FORECAST.LINEAR	PREVISION.LINEAIRE
FORMULATEXT	FORMULETEXTE
FREQUENCY	FREQUENCE
FTEST	TEST.F
FV	VC
FVSCHEDULE	VC.TAUX
GAMMA	GAMMA
GAMMA.DIST	LOI.GAMMA.N
GAMMA.INV	LOI.GAMMA.INVERSE.N
GAMMADIST	LOI.GAMMA
GAMMAINV	LOI.GAMMA.INVERSE
GAMMALN	LN.GAMMA
GAMMALN.PRECISE	LN.GAMMA.PRECIS
GAUSS	GAUSS
GCD	PGCD
GEOMEAN	MOYENNE.GEOMETRIQUE
GESTEP	SUP.SEUIL
GETPIVOTDATA	LIREDONNEESTABCROISDYNAMIQUE
GROWTH	CROISSANCE
HARMEAN	MOYENNE.HARMONIQUE
HEX2BIN	HEXBIN
HEX2DEC	HEXDEC
HEX2OCT	HEXOCT
HLOOKUP	RECHERCHEH
HOUR	HEURE
HSTACK	EMPILER.H
HYPERLINK	LIEN_HYPERTEXTE
HYPGEOM.DIST	LOI.HYPERGEOMETRIQUE.N
HYPGEOMDIST	LOI.HYPERGEOMETRIQUE
IF	SI
IFERROR	SIERREUR
IFNA	SI.NON.DISP
IFS	SI.CONDITIONS
IMABS	IMABS
IMAGE	IMAGE
IMAGINARY	IMAGINAIRE
IMARGUMENT	IMARGUMENT
IMCONJUGATE	IMCONJUGUE
IMCOS	IMCOS
IMDIV	IMDIV
IMEXP	IMEXP
IMLN	IMLN
IMLOG10	IMLOG10
IMLOG2	IMLOG2
IMPOWER	IMPOWER
IMPRODUCT	IMPRODUIT
IMREAL	IMREEL
IMSIN	IMSIN
IMSQRT	IMSQRT
IMSUB	IMSOUSTRAIRE
IMSUM	IMSOMME
INDEX	INDEX
INDIRECT	INDIRECT
INFO	INFO
INT	ENT
INTERCEPT	ORDONNEE.ORIGINE
INTRATE	TAUX.INTERET
IPMT	INTPER
IRR	TRI
ISBLANK	ESTVIDE
ISERR	ESTERR
ISERROR	ESTERREUR
ISEVEN	EST.PAIR
ISFORMULA	ESTFORMULE
ISLOGICAL	ESTLOGIQUE
ISNA	ESTNA
ISNONTEXT	ESTNONTEXTE
ISNUMBER	ESTNUM
ISO.CEILING	ISO.PLAFOND
ISO.WEEKNUM	NO.SEMAINE.ISO
ISODD	EST.IMPAIR
ISOMITTED	ESTOMIS
ISOWEEKNUM	ISOWEEKNUM
ISPMT	ISPMT
ISREF	ESTREF
ISTEXT	ESTTEXTE
ISTHAIDIGIT	ISTHAIDIGIT
KURT	KURTOSIS
LAMBDA	LAMBDA
LARGE	GRANDE.VALEUR
LCM	PPCM
LEFT	GAUCHE
LEFTB	GAUCHEB
LEN	NBCAR
LENB	NBCARB
LET	LET
LINEST	DROITEREG
LN	LN
LOG	LOG
LOG10	LOG10
LOGEST	LOGREG
LOGINV	LOI.LOGNORMALE.INVERSE
LOGNORM.DIST	LOI.LOGNORMALE.N
LOGNORM.INV	LOI.LOGNORMALE.INVERSE.N
LOGNORMDIST	LOI.LOGNORMALE
LOOKUP	RECHERCHE
LOWER	MINUSCULE
MAKEARRAY	CREER.TABLEAU
MAP	MAP
MATCH	EQUIV
MAX	MAX
MAXA	MAXA
MAXIFS	MAX.SI.ENS
MDETERM	DETERMAT
MDURATION	DUREE.MODIFIEE
MEDIAN	MEDIANE
MID	STXT
MIDB	STXTB
MIN	MIN
MINA	MINA
MINIFS	MIN.SI.ENS
MINUTE	MINUTE
MINVERSE	INVERSEMAT
MIRR	TRI.MODIFIE
MMULT	PRODUITMAT
MOD	MOD
MODE	MODE
MODE.MULT	MODE.MULTIPLE
MODE.SNGL	MODE.SIMPLE
MONTH	MOIS
MROUND	ARRONDI.AU.MULTIPLE
MULTINOMIAL	MULTINOMIALE
MUNIT	MUNIT
N	N
NA	NA
NEGBINOM.DIST	LOI.BINOMIALE.NEGATIVE.N
NEGBINOMDIST	LOI.BINOMIALE.NEGATIVE
NETWORKDAYS	NB.JOURS.OUVRES
NETWORKDAYS.INTL	NB.JOURS.OUVRES.INTL
NOMINAL	TAUX.NOMINAL
NORM.DIST	LOI.NORMALE.N
NORM.INV	LOI.NORMALE.INVERSE.N
NORM.S.DIST	LOI.NORMALE.STANDARD.N
NORM.S.INV	LOI.NORMALE.STANDARD.INVERSE.N
NORMDIST	LOI.NORMALE
NORMINV	LOI.NORMALE.INVERSE
NORMSDIST	LOI.NORMALE.STANDARD
NORMSINV	LOI.NORMALE.STANDARD.INVERSE
NOT	NON
NOW	MAINTENANT
NPER	NPM
NPV	VAN
NUMBERVALUE	VALEURNOMBRE
OCT2BIN	OCT2BIN
OCT2DEC	OCT2DEC
OCT2HEX	OCT2HEX
ODD	IMPAIR
ODDFPRICE	ODDFPRICE
ODDFYIELD	ODDFYIELD
ODDLPRICE	ODDLPRICE
ODDLYIELD	ODDLYIELD
OFFSET	DECALER
OR	OU
PDURATION	DUREE.PERIODE
PEARSON	PEARSON
PERCENTILE	CENTILE
PERCENTILE.EXC	CENTILE.EXCLURE
PERCENTILE.INC	CENTILE.INCLURE
PERCENTRANK	RANG.POURCENTAGE
PERCENTRANK.EXC	RANG.POURCENTAGE.EXCLURE
PERCENTRANK.INC	RANG.POURCENTAGE.INCLURE
PERMUT	PERMUTATION
PERMUTATIONA	PERMUTATIONA
PHI	PHI
PHONETIC	PHONETIQUE
PI	PI
PMT	VPM
POISSON	LOI.POISSON
POISSON.DIST	LOI.POISSON.N
POWER	PUISSANCE
PPMT	PRINCPER
PRICE	PRIX
PRICEDISC	PRIX.ESCOMPTE
PRICEMAT	PRIX.ECHEANCE
PROB	PROBABILITE
PRODUCT	PRODUIT
PROPER	NOMPROPRE
PV	VA
QUARTILE	QUARTILE
QUARTILE.EXC	QUARTILE.EXCLURE
QUARTILE.INC	QUARTILE.INCLURE
QUOTIENT	QUOTIENT
RADIANS	RADIANS
RAND	ALEA
RANDARRAY	ALEA.MAT
RANDBETWEEN	ALEA.ENTRE.BORNES
RANK	RANG
RANK.AVG	RANG.MOYEN
RANK.EQ	RANG.EGAL
RATE	TAUX
RECEIVED	VALEUR.RECUE
REDUCE	REDUIRE
REPLACE	REMPLACER
REPLACEB	REMPLACERB
RIGHT	DROITE
RIGHTB	DROITEB
ROMAN	ROMAIN
ROUND	ARRONDI
ROUNDBAHTDOWN	ROUNDBAHTDOWN
ROUNDBAHTUP	ROUNDBAHTUP
ROUNDDOWN	ARRONDI.INF
ROUNDUP	ARRONDI.SUP
ROW	LIGNE
ROWS	LIGNES
RRI	RRI
RSQ	COEFF.DETERMINATION
RTD	RTD
SCAN	SCAN
SEARCH	CHERCHE
SEARCHB	CHERCHEB
SEC	SEC
SECH	SECH
SECOND	SECONDE
SEQUENCE	SEQUENCE
SERIESSUM	SOMME.SERIES
SHEET	FEUILLE
SHEETS	FEUILLES
SIGN	SIGNE
SIN	SIN
SINH	SINH
SKEW	COEFFICIENT.ASYMETRIE
SKEW.P	COEFFICIENT.ASYMETRIE.P
SLN	SLN
SLOPE	PENTE
SMALL	PETITE.VALEUR
SORT	TRIER
SORTBY	TRIERPAR
SQRT	RACINE
SQRTPI	RACINE.PI
STANDARDIZE	CENTRER.REDUIRE
STDEV	ECARTYPE
STDEV.P	ECARTYPE.P
STDEV.S	ECARTYPE.STANDARD
STDEVA	ECARTYPEA
STDEVP	ECARTYPEP
STDEVPA	ECARTYPEPA
STEYX	ERREUR.TYPE.XY
SUBSTITUTE	SUBSTITUE
SUBTOTAL	SOUS.TOTAL
SUM	SOMME
SUMIF	SOMME.SI
SUMIFS	SOMME.SI.ENS
SUMPRODUCT	SOMMEPROD
SUMSQ	SOMME.CARRES
SUMX2MY2	SOMME.X2MY2
SUMX2PY2	SOMME.X2PY2
SUMXMY2	SOMME.XMY2
SWITCH	SWITCH
SYD	SYD
T	T
T.DIST	LOI.STUDENT.N
T.DIST.2T	LOI.STUDENT.BILATERALE.N
T.DIST.RT	LOI.STUDENT.DROITE.N
T.INV	LOI.STUDENT.INVERSE.N
T.INV.2T	LOI.STUDENT.INVERSE.BILATERALE.N
T.TEST	TEST.STUDENT.N
TAKE	PRENDRE
TAN	TAN
TANH	TANH
TBILLEQ	TBILLEQ
TBILLPRICE	TBILLPRICE
TBILLYIELD	TBILLYIELD
TDIST	LOI.STUDENT
TEXT	TEXTE
TEXTJOIN	JOINDRE.TEXTE
TEXTSPLIT	FRACTIONNER.TEXTE
THAIDAYOFWEEK	THAIDAYOFWEEK
THAIDIGIT	THAIDIGIT
THAIMONTHOFYEAR	THAIMONTHOFYEAR
THAINUMSOUND	THAINUMSOUND
THAINUMSTRING	THAINUMSTRING
THAISTRINGLENGTH	THAISTRINGLENGTH
THAIYEAR	THAIYEAR
TIME	TEMPS
TIMEVALUE	TEMPSVAL
TINV	LOI.STUDENT.INVERSE
TOCOL	TOCOL
TODAY	AUJOURDHUI
TOROW	TOROW
TRANSPOSE	TRANSPOSE
TREND	TENDANCE
TRIM	SUPPRESPACE
TRIMMEAN	MOYENNE.REDUITE
TRUE	VRAI
TRUNC	TRONQUE
TTEST	TEST.STUDENT
TYPE	TYPE
UNIQUE	UNIQUE
UPPER	MAJUSCULE
VALUE	CNUM
VAR	VAR
VAR.P	VAR.P
VAR.S	VAR.S
VARA	VARA
VARP	VARP
VARPA	VARPA
VDB	VDB
VLOOKUP	RECHERCHEV
VSTACK	EMPILER.V
WEEKDAY	JOURSEM
WEEKNUM	NO.SEMAINE
WEIBULL	LOI.WEIBULL
WEIBULL.DIST	LOI.WEIBULL.N
WORKDAY	SERIE.JOUR.OUVRE
WORKDAY.INTL	SERIE.JOUR.OUVRE.INTL
WRAPCOLS	WRAPCOLS
WRAPROWS	WRAPROWS
XIRR	TRI.PAIEMENTS
XLOOKUP	RECHERCHEX
XMATCH	EQUIVX
XNPV	VAN.PAIEMENTS
XOR	OU.EXCLUSIF
YEAR	ANNEE
YEARFRAC	FRACTION.ANNEE
YIELD	RENDEMENT
YIELDDISC	RENDEMENT.TITRE
YIELDMAT	RENDEMENT.ECHEANCE
Z.TEST	TEST.Z.N
ZTEST	TEST.Z
