# Canonical	Localized
# Source: Microsoft Excel function translation tables (de-DE).
# Generated by scripts/generate-locale-function-tsv.js on 1970-01-01 (UTC). Do not edit by hand.
# See `src/locale/data/README.md` for format + generators.

INTRATE	INTRATE
IPMT	IPMT
IRR	IRR
ISBLANK	ISBLANK
ISERR	ISERR
ISERROR	ISERROR
ISEVEN	ISEVEN
ISFORMULA	ISFORMULA
ISLOGICAL	ISLOGICAL
ISNA	ISNA
ISNONTEXT	ISNONTEXT
ISNUMBER	ISNUMBER
ISO.CEILING	ISO.CEILING
ISO.WEEKNUM	ISO.WEEKNUM
ISODD	ISODD
ISOMITTED	ISOMITTED
ISOWEEKNUM	ISOWEEKNUM
ISPMT	ISPMT
ISREF	ISREF
ISTEXT	ISTEXT
ISTHAIDIGIT	ISTHAIDIGIT
KURT	KURT
LAMBDA	LAMBDA
LARGE	LARGE
LCM	LCM
LEFT	LEFT
LEFTB	LEFTB
LEN	LEN
LENB	LENB
LET	LET
LINEST	LINEST
LN	LN
LOG	LOG
LOG10	LOG10
LOGEST	LOGEST
LOGINV	LOGINV
LOGNORM.DIST	LOGNORM.DIST
LOGNORM.INV	LOGNORM.INV
LOGNORMDIST	LOGNORMDIST
LOOKUP	LOOKUP
LOWER	LOWER
MAKEARRAY	MAKEARRAY
MAP	MAP
MATCH	MATCH
MAX	MAX
MAXA	MAXA
MAXIFS	MAXIFS
MDETERM	MDETERM
MDURATION	MDURATION
MEDIAN	MEDIAN
MID	MID
MIDB	MIDB
MIN	MIN
MINA	MINA
MINIFS	MINIFS
MINUTE	MINUTE
MINVERSE	MINVERSE
MIRR	MIRR
MMULT	MMULT
MOD	MOD
MODE	MODE
MODE.MULT	MODE.MULT
MODE.SNGL	MODE.SNGL
MONTH	MONTH
MROUND	MROUND
MULTINOMIAL	MULTINOMIAL
MUNIT	MUNIT
N	N
NA	NA
NEGBINOM.DIST	NEGBINOM.DIST
NEGBINOMDIST	NEGBINOMDIST
NETWORKDAYS	NETWORKDAYS
NETWORKDAYS.INTL	NETWORKDAYS.INTL
NOMINAL	NOMINAL
NORM.DIST	NORM.DIST
NORM.INV	NORM.INV
NORM.S.DIST	NORM.S.DIST
NORM.S.INV	NORM.S.INV
NORMDIST	NORMDIST
NORMINV	NORMINV
NORMSDIST	NORMSDIST
NORMSINV	NORMSINV
NOT	NOT
NOW	NOW
NPER	NPER
NPV	NPV
NUMBERVALUE	NUMBERVALUE
OCT2BIN	OCT2BIN
OCT2DEC	OCT2DEC
OCT2HEX	OCT2HEX
ODD	ODD
ODDFPRICE	ODDFPRICE
ODDFYIELD	ODDFYIELD
ODDLPRICE	ODDLPRICE
ODDLYIELD	ODDLYIELD
OFFSET	OFFSET
OR	OR
PDURATION	PDURATION
PEARSON	PEARSON
PERCENTILE	PERCENTILE
PERCENTILE.EXC	PERCENTILE.EXC
PERCENTILE.INC	PERCENTILE.INC
PERCENTRANK	PERCENTRANK
PERCENTRANK.EXC	PERCENTRANK.EXC
PERCENTRANK.INC	PERCENTRANK.INC
PERMUT	PERMUT
PERMUTATIONA	PERMUTATIONA
PHI	PHI
PHONETIC	PHONETIC
PI	PI
PMT	PMT
POISSON	POISSON
POISSON.DIST	POISSON.DIST
POWER	POWER
PPMT	PPMT
PRICE	PRICE
PRICEDISC	PRICEDISC
PRICEMAT	PRICEMAT
PROB	PROB
PRODUCT	PRODUCT
PROPER	PROPER
PV	PV
QUARTILE	QUARTILE
QUARTILE.EXC	QUARTILE.EXC
QUARTILE.INC	QUARTILE.INC
QUOTIENT	QUOTIENT
RADIANS	RADIANS
RAND	RAND
RANDARRAY	RANDARRAY
RANDBETWEEN	RANDBETWEEN
RANK	RANK
RANK.AVG	RANK.AVG
RANK.EQ	RANK.EQ
RATE	RATE
RECEIVED	RECEIVED
REDUCE	REDUCE
REPLACE	REPLACE
REPLACEB	REPLACEB
RIGHT	RIGHT
RIGHTB	RIGHTB
ROMAN	ROMAN
ROUND	ROUND
ROUNDBAHTDOWN	ROUNDBAHTDOWN
ROUNDBAHTUP	ROUNDBAHTUP
ROUNDDOWN	ROUNDDOWN
ROUNDUP	ROUNDUP
ROW	ROW
ROWS	ROWS
RRI	RRI
RSQ	RSQ
RTD	RTD
SCAN	SCAN
SEARCH	SEARCH
SEARCHB	SEARCHB
SEC	SEC
SECH	SECH
SECOND	SECOND
SEQUENCE	SEQUENZ
SERIESSUM	SERIESSUM
SHEET	SHEET
SHEETS	SHEETS
SIGN	SIGN
SIN	SIN
SINH	SINH
SKEW	SKEW
SKEW.P	SKEW.P
SLN	SLN
SLOPE	SLOPE
SMALL	SMALL
SORT	SORT
SORTBY	SORTBY
SQRT	SQRT
SQRTPI	SQRTPI
STANDARDIZE	STANDARDIZE
STDEV	STDEV
STDEV.P	STDEV.P
STDEV.S	STDEV.S
STDEVA	STDEVA
STDEVP	STDEVP
STDEVPA	STDEVPA
STEYX	STEYX
SUBSTITUTE	SUBSTITUTE
SUBTOTAL	SUBTOTAL
SUM	SUMME
SUMIF	SUMIF
SUMIFS	SUMIFS
SUMPRODUCT	SUMPRODUCT
SUMSQ	SUMSQ
SUMX2MY2	SUMX2MY2
SUMX2PY2	SUMX2PY2
SUMXMY2	SUMXMY2
SWITCH	SWITCH
SYD	SYD
T	T
T.DIST	T.DIST
T.DIST.2T	T.DIST.2T
T.DIST.RT	T.DIST.RT
T.INV	T.INV
T.INV.2T	T.INV.2T
T.TEST	T.TEST
TAKE	TAKE
TAN	TAN
TANH	TANH
TBILLEQ	TBILLEQ
TBILLPRICE	TBILLPRICE
TBILLYIELD	TBILLYIELD
TDIST	TDIST
TEXT	TEXT
TEXTJOIN	TEXTJOIN
TEXTSPLIT	TEXTSPLIT
THAIDAYOFWEEK	THAIDAYOFWEEK
THAIDIGIT	THAIDIGIT
THAIMONTHOFYEAR	THAIMONTHOFYEAR
THAINUMSOUND	THAINUMSOUND
THAINUMSTRING	THAINUMSTRING
THAISTRINGLENGTH	THAISTRINGLENGTH
THAIYEAR	THAIYEAR
TIME	TIME
TIMEVALUE	TIMEVALUE
TINV	TINV
TOCOL	TOCOL
TODAY	TODAY
TOROW	TOROW
TRANSPOSE	TRANSPOSE
TREND	TREND
TRIM	TRIM
TRIMMEAN	TRIMMEAN
TRUE	TRUE
TRUNC	TRUNC
TTEST	TTEST
TYPE	TYPE
UNIQUE	UNIQUE
UPPER	UPPER
VALUE	VALUE
VAR	VAR
VAR.P	VAR.P
VAR.S	VAR.S
VARA	VARA
VARP	VARP
VARPA	VARPA
VDB	VDB
VLOOKUP	VLOOKUP
VSTACK	VSTACK
WEEKDAY	WEEKDAY
WEEKNUM	WEEKNUM
WEIBULL	WEIBULL
WEIBULL.DIST	WEIBULL.DIST
WORKDAY	WORKDAY
WORKDAY.INTL	WORKDAY.INTL
WRAPCOLS	WRAPCOLS
WRAPROWS	WRAPROWS
XIRR	XIRR
XLOOKUP	XLOOKUP
XMATCH	XMATCH
XNPV	XNPV
XOR	XOR
YEAR	YEAR
YEARFRAC	YEARFRAC
YIELD	YIELD
YIELDDISC	YIELDDISC
YIELDMAT	YIELDMAT
Z.TEST	Z.TEST
ZTEST	ZTEST
